"","date","obs","ws","visibility","air_temp","atmos_pres","dew_point","RH"
"1",2010-01-01,126.791666666667,1.34166666666667,1507.29166666667,0.425,994.4,0.366666666666667,99.588636968185
"2",2010-01-02,68.875,3.23125,3537.5,-1.62916666666667,1006.0875,-2.15833333333333,96.3186257164796
"3",2010-01-03,64.3333333333333,2.84583333333333,5901.25,-5.37916666666667,1018.0875,-6.26458333333333,93.6659183486544
"4",2010-01-04,150.833333333333,0.941666666666667,5570.10416666667,-7.27291666666667,1020.025,-8.79583333333333,89.5223894317659
"5",2010-01-05,126.583333333333,2.42083333333333,6095.83333333333,-5.80833333333333,1013.925,-7.675,87.0360724045807
"6",2010-01-06,135.791666666667,3.14375,4577.08333333333,-4.94166666666667,1004.15,-5.86875,93.3723900265133
"7",2010-01-07,206.041666666667,1.19583333333333,2525,-2.59166666666667,1011.3625,-3.61875,92.8097217858138
"8",2010-01-08,99.4166666666667,4.58125,4016.66666666667,-2.65416666666667,1018.1,-3.56458333333333,93.6425731972669
"9",2010-01-09,40.6666666666667,5.52083333333333,6213.02083333333,0.05,1009.7625,0.0270833333333333,99.8372323445406
"10",2010-01-10,50.3333333333333,4.2125,4108.33333333333,-1.37083333333333,1009.55,-1.38125,99.9252325187778
"11",2010-01-11,124.125,2.175,4035.41666666667,-2.14375,1016.0625,-2.4625,97.7486869597114
"12",2010-01-12,89.4583333333333,1.42083333333333,4139.58333333333,-2.575,1019.45,-3.16666666666667,95.8220649871095
"13",2010-01-13,70,4.13541666666667,4543.75,-3.05,1017.3875,-3.18958333333333,99.0052193231186
"14",2010-01-14,81.4583333333333,3.33333333333333,2606.25,-4.91458333333333,1018.9,-4.95208333333333,99.727953279803
"15",2010-01-15,90.4583333333333,2.075,2429.16666666667,-4.93541666666667,1027.575,-5.0375,99.2604980000032
"16",2010-01-16,75.125,2.825,3268.75,-4.99166666666667,1032.3625,-5.09166666666667,99.2735198701456
"17",2010-01-17,103.5,3.1625,4000,-6.49375,1024.75,-7.14791666666667,95.2793913518647
"18",2010-01-18,126.916666666667,2.11041666666667,3618.75,-5.1,1025.5625,-5.73958333333333,95.4516342444885
"19",2010-01-19,119.958333333333,3.50833333333333,2860.41666666667,-4.92083333333333,1025.2875,-5.27916666666667,97.4081882159512
"20",2010-01-20,60.375,5.48958333333333,8020.3125,-8.33958333333333,1023.05,-9.5625,91.0744087877991
"21",2010-01-21,55.9166666666667,5.425,9878.22916666667,-9.35208333333333,1026.7,-10.9729166666667,88.2075575192561
"22",2010-01-22,68.2916666666667,5.1125,10413.75,-11.2145833333333,1033.0625,-12.8479166666667,87.956779996116
"23",2010-01-23,113.041666666667,4.81875,10075.3125,-15.3604166666667,1034.75,-17.2333333333333,85.8142552952456
"24",2010-01-24,173.625,5.00625,8445.83333333333,-17.7395833333333,1037.2375,-20.4479166666667,79.7255473949225
"25",2010-01-25,249.083333333333,3.32083333333333,5260.41666666667,-17.3270833333333,1039.125,-19.6270833333333,82.6285908806046
"26",2010-01-26,272.875,2.13125,4470.83333333333,-16.5708333333333,1039.4875,-18.8666666666667,82.8602414242352
"27",2010-01-27,397.958333333333,1.17291666666667,1900,-15.9541666666667,1029.6375,-18.1208333333333,83.964472016987
"28",2010-01-28,104.166666666667,5.40625,6791.77083333333,-5.08958333333333,997.083333333333,-6.98333333333333,87.1832165083229
"29",2010-01-29,85.375,2.87291666666667,6833.02083333333,-2.96666666666667,993.7125,-3.64375,95.3715887713279
"30",2010-01-30,68.5,2.825,10837.6041666667,-0.95625,991.15,-4.675,76.6375243685329
"31",2010-01-31,99.2916666666667,1.50416666666667,9351.97916666667,-5.03333333333333,1003.9125,-6.71458333333333,88.2328512424053
"32",2010-02-01,141.291666666667,2.97916666666667,6211.66666666667,-6.6625,1009.8875,-8.41666666666667,87.7389643481771
"33",2010-02-02,129.478260869565,1.99166666666667,7175.3125,-6.38125,1015.075,-8.06875,88.5124217292632
"34",2010-02-03,102.708333333333,2.85208333333333,7723.33333333333,-3.59375,1010.35,-5.11666666666667,90.7531968289113
"35",2010-02-04,194.333333333333,1.20625,4400,-6.58125,1023.625,-7.88541666666667,91.216080933951
"36",2010-02-05,134.416666666667,4.23541666666667,8706.66666666667,-3.00208333333333,1021.4875,-6.00208333333333,80.715800695042
"37",2010-02-06,81.5833333333333,6.24166666666667,9671.66666666667,-4.71458333333333,1018.225,-7.175,83.3443444252594
"38",2010-02-07,70,2.80833333333333,10731.5625,-7.76458333333333,1020.7625,-10.0208333333333,84.2211748714909
"39",2010-02-08,130.75,1.32708333333333,10044.8958333333,-7.6,1016.125,-10.2166666666667,81.8743282287071
"40",2010-02-09,175.416666666667,2.47708333333333,4125,-6.63541666666667,1011.375,-8.22083333333333,88.7825824867648
"41",2010-02-10,175.875,3.98125,5054.16666666667,-5.55,1009.3,-7.50625,86.7278119530819
"42",2010-02-11,117.791666666667,3.57083333333333,4565.72916666667,-4.2625,1005.325,-4.86666666666667,95.6963263517983
"43",2010-02-12,205.041666666667,2.58125,2012.5,-3.38333333333333,1009.675,-3.78333333333333,97.1876936022364
"44",2010-02-13,191.375,2.20833333333333,1575,-2.09166666666667,1010.8625,-2.21666666666667,99.1165656884096
"45",2010-02-14,95.75,4.39166666666667,3614.58333333333,-2.60625,1012.475,-2.87083333333333,98.1295358905969
"46",2010-02-15,125.708333333333,3.05,2264.58333333333,-2.67708333333333,1010.825,-2.95833333333333,98.0196545154235
"47",2010-02-16,170.916666666667,0.735416666666667,3361.04166666667,-2.86666666666667,1010.025,-4.00833333333333,92.5677727263948
